"filename", "language", "PHP", "HTML", "JavaScript", "XML", "comment", "blank", "total"
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\account.html", "HTML", 0, -28, 0, 0, 0, 1, -27
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\js\accountInfo.js", "JavaScript", 0, 0, 6, 0, 0, 2, 8
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\js\accountMedals.js", "JavaScript", 0, 0, 2, 0, 0, 1, 3
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\js\allClientOrders.js", "JavaScript", 0, 0, 7, 0, 0, 2, 9
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\js\changeAccountInfo.js", "JavaScript", 0, 0, 179, 0, 8, 38, 225
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\js\registration.js", "JavaScript", 0, 0, 59, 0, -19, 11, 51
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\media\icons\content\medals\1.svg", "XML", 0, 0, 0, 11, 1, 1, 13
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\media\icons\content\medals\10.svg", "XML", 0, 0, 0, 11, 1, 1, 13
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\media\icons\content\medals\11.svg", "XML", 0, 0, 0, 11, 1, 1, 13
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\media\icons\content\medals\12.svg", "XML", 0, 0, 0, 11, 1, 1, 13
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\media\icons\content\medals\13.svg", "XML", 0, 0, 0, 11, 1, 1, 13
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\media\icons\content\medals\2.svg", "XML", 0, 0, 0, 11, 1, 1, 13
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\media\icons\content\medals\3.svg", "XML", 0, 0, 0, 11, 1, 1, 13
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\media\icons\content\medals\4.svg", "XML", 0, 0, 0, 11, 1, 1, 13
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\media\icons\content\medals\5.svg", "XML", 0, 0, 0, 11, 1, 1, 13
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\media\icons\content\medals\6.svg", "XML", 0, 0, 0, 11, 1, 1, 13
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\media\icons\content\medals\7.svg", "XML", 0, 0, 0, 11, 1, 1, 13
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\media\icons\content\medals\8.svg", "XML", 0, 0, 0, 11, 1, 1, 13
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\media\icons\content\medals\9.svg", "XML", 0, 0, 0, 11, 1, 1, 13
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\media\icons\social\bandcamp.svg", "XML", 0, 0, 0, -6, -1, -1, -8
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\media\icons\social\square-github.svg", "XML", 0, 0, 0, -18, -1, -1, -20
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\media\icons\social\square-instagram.svg", "XML", 0, 0, 0, -18, -1, -1, -20
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\media\icons\social\square-youtube.svg", "XML", 0, 0, 0, -9, -1, -1, -11
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\media\icons\social\square_vk.svg", "XML", 0, 0, 0, -9, -1, -1, -11
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\media\icons\social\telegram.svg", "XML", 0, 0, 0, -3, 0, -1, -4
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\php\addOrder.php", "PHP", 1, 0, 0, 0, 0, -1, 0
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\php\allClientOrders.php", "PHP", 1, 0, 0, 0, 0, 1, 2
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\php\authorization-check.php", "PHP", 0, 0, 0, 0, 0, -1, -1
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\php\authorization.php", "PHP", 1, 0, 0, 0, 0, -1, 0
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\php\changeAccountInfo.php", "PHP", 40, 0, 0, 0, 7, 12, 59
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\php\registration.php", "PHP", 1, 0, 0, 0, 0, 0, 1
"Total", "-", 44, -28, 253, 80, 4, 72, 425
